Bigram,Bigram_Frequency,Trigram,Trigram_Frequency,Quadgram,Quadgram_Frequency
LE,2.03,LES,1.75,LEUR,1.12
LA,2.03,QUE,1.59,LORS,0.95
DE,1.78,DES,1.15,DE LA,0.88
ET,1.75,EST,0.82,ET DE,0.74
EN,1.57,ENT,0.65,EN LE,0.63
QU,1.42,QUEL,0.6,QUE LES,0.55
UE,1.38,UNE,0.59,U NE,0.51
RE,1.34,REN,0.56,RE DE,0.49
IS,1.29,IST,0.56,IL EST,0.48
ON,1.28,ONT,0.53,ON NE,0.47
NT,1.27,NON,0.51,NE PAS,0.44
NE,1.17,NER,0.46,NE LE,0.42
RA,1.15,RAT,0.46,RAIT,0.41
SE,1.13,SES,0.44,SE PAS,0.39
NT,1.11,NTE,0.43,NEST,0.38
RE,1.09,REG,0.43,RE QUE,0.37
TI,1.09,TIL,0.42,TIL,0.35
UE,1.05,UEL,0.4,UN PEU,0.33
UR,1.05,URE,0.4,UN AUTRE,0.31
IT,1.03,ITE,0.38,IL Y,0.29
DU,0.95,DUR,0.35,DU TEMPS,0.28
EL,0.91,ELS,0.34,ELLE,0.27
IN,0.89,INS,0.33,ILS,0.26
AU,0.87,AUX,0.32,AU MOINS,0.25
IL,0.84,ILS,0.31,IL FAUT,0.24
