Bigram,Bigram_Frequency,Trigram,Trigram_Frequency,Quadgram,Quadgram_Frequency
TH,3.88,THE,3.51,THES,1.12
HE,3.68,AND,1.59,ANDA,0.95
IN,2.28,ING,1.15,INGE,0.88
ER,2.18,ENT,0.82,ENTE,0.74
AN,2.14,ION,0.65,IONS,0.63
EN,1.75,DER,0.6,DERE,0.55
CH,1.57,SCH,0.59,SCHR,0.49
DE,1.42,ICH,0.56,ICHT,0.47
EI,1.38,NDE,0.56,NDER,0.44
TE,1.34,DIE,0.53,DIES,0.51
ST,1.29,GEN,0.51,GENE,0.48
IE,1.28,CHT,0.46,CHTE,0.46
ND,1.27,TER,0.46,TERS,0.42
ND,1.17,ICH,0.44,ICHE,0.41
IE,1.15,HTE,0.43,HTEN,0.39
CH,1.13,DEN,0.43,DENN,0.38
UN,1.11,UNG,0.42,UNGE,0.37
NG,1.09,UND,0.4,UNDE,0.35
GE,1.09,INE,0.4,INES,0.33
BE,1.05,DER,0.38,DERE,0.31
