Bigram,Bigram_Frequency,Trigram,Trigram_Frequency,Quadgram,Quadgram_Frequency
IL,2.03,CHE,1.75,CHE_,1.12
LE,2.03,CON,1.59,CON_,0.95
LA,1.78,DEL,1.15,DELL,0.88
DE,1.75,PER,0.82,PER_,0.74
IN,1.57,DIN,0.65,DIN_,0.63
RE,1.42,DEL,0.6,DELL,0.55
ON,1.38,LLE,0.59,LLE_,0.49
TA,1.34,TER,0.56,TER_,0.47
CO,1.29,ELE,0.56,ELE_,0.44
TE,1.28,ION,0.53,IONE,0.51
NT,1.27,ENT,0.51,ENTI,0.48
DI,1.17,EST,0.46,EST_,0.46
RE,1.15,TTO,0.46,TTO_,0.42
RE,1.13,ESS,0.44,ESS_,0.41
LI,1.11,LLA,0.43,LLA_,0.39
TI,1.09,ION,0.43,IONA,0.38
TA,1.09,CHE,0.42,CHE_,0.37
RA,1.05,ION,0.4,IONE,0.35
TO,1.05,NDO,0.4,NDON,0.33
CA,1.03,IRE,0.38,IRE_,0.31
